,Start_Base,End_Base,Event,Respon_Pitcher,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
54,1B,2B,Stolen Base 2B,,596115,Trevor Story,605347,Jorge López,657136,Connor Wong,R,James McCann,543510,0,2,8,True,2023-09-29,Stolen,2B
60,1B,2B,Stolen Base 2B,,678882,Ceddanne Rafaela,660261,Shintaro Fujinami,646240,Rafael Devers,R,James McCann,543510,0,3,9,True,2023-09-29,Stolen,2B
9,1B,2B,Stolen Base 2B,,657656,Ramón Laureano,666214,Joey Wentz,665926,Andrés Giménez,L,Jake Rogers,668670,0,0,2,True,2023-09-29,Stolen,2B
20,2B,3B,Stolen Base 3B,,664702,Myles Straw,666214,Joey Wentz,608070,José Ramírez,L,Jake Rogers,668670,0,3,2,True,2023-09-29,Stolen,3B
21,1B,2B,Stolen Base 2B,,680757,Steven Kwan,666214,Joey Wentz,608070,José Ramírez,L,Jake Rogers,668670,0,3,2,True,2023-09-29,Stolen,2B
53,1B,,Caught Stealing 2B,,657656,Ramón Laureano,607755,Andrew Vasquez,665926,Andrés Giménez,L,Jake Rogers,668670,2,7,4,True,2023-09-29,Caught,2B
49,1B,2B,Stolen Base 2B,,678894,Liover Peguero,665795,Edward Cabrera,656582,Connor Joe,R,Nick Fortes,663743,2,0,4,False,2023-09-29,Stolen,2B
18,1B,2B,Stolen Base 2B,,664059,Sam Haggerty,656756,Jordan Montgomery,676609,José Caballero,L,Jonah Heim,641680,0,1,3,False,2023-09-28,Stolen,2B
49,2B,3B,Stolen Base 3B,,453568,Charlie Blackmon,642232,Ryan Yarbrough,663898,Brendan Rodgers,L,Austin Barnes,605131,7,3,4,False,2023-09-28,Stolen,3B
55,2B,3B,Stolen Base 3B,,666134,Nolan Jones,642232,Ryan Yarbrough,660707,Elehuris Montero,L,Austin Barnes,605131,9,3,4,False,2023-09-28,Stolen,3B
1,1B,2B,Stolen Base 2B,,643565,Mike Tauchman,700363,AJ Smith-Shawver,663538,Nico Hoerner,R,Travis d'Arnaud,518595,0,0,1,True,2023-09-28,Stolen,2B
46,1B,,Caught Stealing 2B,,660670,Ronald Acuña Jr.,665871,Javier Assad,645277,Ozzie Albies,R,Yan Gomes,543228,5,1,4,False,2023-09-28,Caught,2B
29,1B,2B,Stolen Base 2B,,596019,Francisco Lindor,666200,Jesús Luzardo,668901,Mark Vientos,L,Nick Fortes,663743,0,0,4,False,2023-09-28,Stolen,2B
18,1B,2B,Stolen Base 2B,,595281,Kevin Kiermaier,596133,Luke Weaver,656305,Matt Chapman,R,Austin Wells,669224,0,0,2,False,2023-09-28,Stolen,2B
22,1B,2B,Stolen Base 2B,,664314,Estevan Florial,605135,Chris Bassitt,518934,DJ LeMahieu,R,Alejandro Kirk,672386,0,0,3,True,2023-09-28,Stolen,2B
49,1B,2B,Stolen Base 2B,,666182,Bo Bichette,669711,Greg Weissert,624415,Cavan Biggio,R,Austin Wells,669224,3,0,5,False,2023-09-28,Stolen,2B
57,1B,2B,Stolen Base 2B,,657136,Connor Wong,672335,Cionel Pérez,646240,Rafael Devers,L,James McCann,543510,1,0,8,True,2023-09-28,Stolen,2B
83,2B,3B,Stolen Base 3B,,607208,Trea Turner,669387,Carmen Mlodzinski,666801,Rodolfo Castro,R,Jason Delay,641511,2,3,8,False,2023-09-28,Stolen,3B
4,1B,2B,Stolen Base 2B,,677951,Bobby Witt Jr.,687830,Sawyer Gipson-Long,686681,Michael Massey,R,Carson Kelly,608348,0,0,1,True,2023-09-28,Stolen,2B
1,1B,2B,Stolen Base 2B,,682998,Corbin Carroll,657053,Touki Toussaint,606466,Ketel Marte,R,Korey Lee,686676,0,0,1,True,2023-09-28,Stolen,2B
6,1B,2B,Stolen Base 2B,,502054,Tommy Pham,657053,Touki Toussaint,677950,Alek Thomas,R,Korey Lee,686676,0,0,1,True,2023-09-28,Stolen,2B
46,1B,2B,Stolen Base 2B,,666149,Tyler Fitzgerald,663362,Matt Waldron,664774,LaMonte Wade Jr.,R,Brett Sullivan,664954,2,1,5,False,2023-09-27,Stolen,2B
65,1B,2B,Stolen Base 2B,,666149,Tyler Fitzgerald,605130,Scott Barlow,664774,LaMonte Wade Jr.,R,Brett Sullivan,664954,2,2,7,False,2023-09-27,Stolen,2B
74,1B,2B,Stolen Base 2B,,642731,Thairo Estrada,663158,Robert Suarez,624424,Michael Conforto,R,Brett Sullivan,664954,2,2,8,False,2023-09-27,Stolen,2B
2,1B,,Caught Stealing 2B,,608324,Alex Bregman,682243,Bryce Miller,670541,Yordan Alvarez,R,Cal Raleigh,663728,0,0,1,True,2023-09-27,Caught,2B
9,2B,3B,Stolen Base 3B,,677594,Julio Rodríguez,664285,Framber Valdez,606192,Teoscar Hernández,L,Martín Maldonado,455117,1,0,1,False,2023-09-27,Stolen,3B
19,1B,2B,Stolen Base 2B,,664059,Sam Haggerty,664285,Framber Valdez,676609,José Caballero,L,Martín Maldonado,455117,1,0,2,False,2023-09-27,Stolen,2B
27,1B,,Caught Stealing 2B,,666134,Nolan Jones,686218,Emmet Sheehan,663898,Brendan Rodgers,R,Will Smith,669257,1,1,3,False,2023-09-27,Caught,2B
60,1B,,Caught Stealing 2B,,681546,James Outman,656382,Tommy Doyle,444482,David Peralta,R,Elias Díaz,553869,1,4,6,True,2023-09-27,Caught,2B
72,1B,2B,Stolen Base 2B,,518692,Freddie Freeman,683232,Nick Mears,502110,J.D. Martinez,R,Elias Díaz,553869,2,4,7,True,2023-09-27,Stolen,2B
76,2B,3B,Stolen Base 3B,,605119,Brian Anderson,669461,Matthew Liberatore,668930,Brice Turang,L,Iván Herrera,671056,2,2,7,False,2023-09-27,Stolen,3B
16,1B,2B,Stolen Base 2B,,650489,Willi Castro,683155,Joey Estes,571657,Kyle Farmer,R,Tyler Soderstrom,691016,2,0,2,False,2023-09-27,Stolen,2B
52,1B,2B,Stolen Base 2B,,667670,Brent Rooker,573204,Caleb Thielbar,668709,JJ Bleday,L,Christian Vázquez,543877,2,4,5,True,2023-09-27,Stolen,2B
81,1B,,Caught Stealing 2B,,665923,Esteury Ruiz,572971,Dallas Keuchel,672478,Jordan Diaz,L,Christian Vázquez,543877,4,4,8,True,2023-09-27,Caught,2B
70,1B,2B,Stolen Base 2B,,660670,Ronald Acuña Jr.,657240,Julian Merryweather,645277,Ozzie Albies,R,Yan Gomes,543228,3,3,8,False,2023-09-27,Stolen,2B
74,1B,,Caught Stealing 2B,,645277,Ozzie Albies,657240,Julian Merryweather,663586,Austin Riley,R,Yan Gomes,543228,3,3,8,False,2023-09-27,Caught,2B
77,1B,2B,Stolen Base 2B,,621020,Dansby Swanson,489446,Kirby Yates,600869,Jeimer Candelario,R,Sean Murphy,669221,3,3,9,True,2023-09-27,Stolen,2B
102,1B,2B,Stolen Base 2B,,660670,Ronald Acuña Jr.,694037,Daniel Palencia,645277,Ozzie Albies,R,Yan Gomes,543228,6,5,10,False,2023-09-27,Stolen,2B
19,2B,3B,Stolen Base 3B,,547180,Bryce Harper,670912,Johan Oviedo,669016,Brandon Marsh,R,Endy Rodríguez,682848,0,3,1,False,2023-09-27,Stolen,3B
73,1B,,Caught Stealing 2B,,665506,Cristian Pache,670912,Johan Oviedo,679032,Johan Rojas,R,Endy Rodríguez,682848,6,6,5,False,2023-09-27,Caught,2B
77,1B,2B,Stolen Base 2B,,669707,Jared Triolo,622554,Seranthony Domínguez,668804,Bryan Reynolds,R,Garrett Stubbs,596117,6,6,6,True,2023-09-27,Stolen,2B
8,1B,2B,Stolen Base 2B,,669720,Austin Hays,571578,Patrick Corbin,543305,Aaron Hicks,L,Keibert Ruiz,660688,0,0,1,False,2023-09-27,Stolen,2B
47,2B,3B,Stolen Base 3B,,622761,Jorge Mateo,571578,Patrick Corbin,668939,Adley Rutschman,L,Keibert Ruiz,660688,3,1,5,False,2023-09-27,Stolen,3B
65,1B,2B,Stolen Base 2B,,682928,CJ Abrams,680570,Grayson Rodriguez,657041,Lane Thomas,R,James McCann,543510,4,1,6,True,2023-09-27,Stolen,2B
15,1B,2B,Stolen Base 2B,,596115,Trevor Story,607192,Tyler Glasnow,666915,Bobby Dalbec,R,Christian Bethancourt,542194,0,1,2,False,2023-09-27,Stolen,2B
12,2B,3B,Stolen Base 3B,,657656,Ramón Laureano,671096,Andrew Abbott,671289,Tyler Freeman,L,Tyler Stephenson,663886,1,0,2,False,2023-09-27,Stolen,3B
15,1B,2B,Stolen Base 2B,,671289,Tyler Freeman,671096,Andrew Abbott,677587,Brayan Rocchio,L,Tyler Stephenson,663886,2,0,2,False,2023-09-27,Stolen,2B
22,2B,,Caught Stealing 3B,,664702,Myles Straw,671096,Andrew Abbott,595956,Cam Gallagher,L,Tyler Stephenson,663886,2,0,2,False,2023-09-27,Caught,3B
23,1B,2B,Caught Stealing 3B,,677588,José Tena,671096,Andrew Abbott,595956,Cam Gallagher,L,Tyler Stephenson,663886,2,0,2,False,2023-09-27,Caught,3B
34,1B,,Caught Stealing 2B,,647304,Josh Naylor,650960,Daniel Duarte,671289,Tyler Freeman,R,Tyler Stephenson,663886,3,0,3,False,2023-09-27,Caught,2B
52,1B,2B,Stolen Base 2B,,682829,Elly De La Cruz,669456,Shane Bieber,666181,Will Benson,R,Cam Gallagher,595956,4,0,5,True,2023-09-27,Stolen,2B
63,1B,2B,Stolen Base 2B,,670770,TJ Friedl,669456,Shane Bieber,687952,Christian Encarnacion-Strand,R,Cam Gallagher,595956,4,1,6,True,2023-09-27,Stolen,2B
71,1B,2B,Stolen Base 2B,,682829,Elly De La Cruz,625643,Reynaldo López,666181,Will Benson,R,Cam Gallagher,595956,4,1,7,True,2023-09-27,Stolen,2B
55,1B,2B,Stolen Base 2B,,669364,Xavier Edwards,641360,Phil Bickford,542932,Jon Berti,R,Omar Narváez,553882,2,2,7,True,2023-09-27,Stolen,2B
77,1B,2B,Stolen Base 2B,,669364,Xavier Edwards,493603,Adam Ottavino,542932,Jon Berti,R,Omar Narváez,553882,2,2,9,True,2023-09-27,Stolen,2B
80,1B,2B,Stolen Base 2B,,542932,Jon Berti,493603,Adam Ottavino,605137,Josh Bell,R,Omar Narváez,553882,2,2,9,True,2023-09-27,Stolen,2B
21,1B,2B,Stolen Base 2B,,641658,Garrett Hampson,664192,Joey Lucchesi,605137,Josh Bell,L,Francisco Alvarez,682626,2,0,3,True,2023-09-27,Stolen,2B
55,1B,2B,Stolen Base 2B,,669364,Xavier Edwards,641360,Phil Bickford,542932,Jon Berti,R,Omar Narváez,553882,2,2,7,True,2023-09-26,Stolen,2B
77,1B,2B,Stolen Base 2B,,669364,Xavier Edwards,493603,Adam Ottavino,542932,Jon Berti,R,Omar Narváez,553882,2,2,9,True,2023-09-26,Stolen,2B
80,1B,2B,Stolen Base 2B,,542932,Jon Berti,493603,Adam Ottavino,605137,Josh Bell,R,Omar Narváez,553882,2,2,9,True,2023-09-26,Stolen,2B
45,1B,,Caught Stealing 2B,,665161,Jeremy Peña,669923,George Kirby,455117,Martín Maldonado,R,Cal Raleigh,663728,2,0,5,True,2023-09-26,Caught,2B
49,1B,2B,Stolen Base 2B,,668942,Josh Rojas,664299,Cristian Javier,641487,J.P. Crawford,R,Yainer Diaz,673237,2,0,5,False,2023-09-26,Stolen,2B
22,2B,3B,Stolen Base 3B,,593428,Xander Bogaerts,622072,Alex Wood,665742,Juan Soto,L,Blake Sabol,666165,0,2,3,True,2023-09-26,Stolen,3B
82,1B,,Caught Stealing 2B,,665877,José Fermín,607067,Colin Rea,691026,Masyn Winn,R,William Contreras,661388,1,4,9,True,2023-09-26,Caught,2B
76,1B,2B,Stolen Base 2B,,607054,Jace Peterson,670990,Yohan Ramírez,672695,Geraldo Perdomo,R,Korey Lee,686676,4,9,5,True,2023-09-26,Stolen,2B
14,1B,2B,Stolen Base 2B,,621020,Dansby Swanson,693821,Bryce Elder,543228,Yan Gomes,R,Sean Murphy,669221,0,1,2,True,2023-09-26,Stolen,2B
29,1B,2B,Stolen Base 2B,,663538,Nico Hoerner,693821,Bryce Elder,641355,Cody Bellinger,R,Sean Murphy,669221,0,2,3,True,2023-09-26,Stolen,2B
50,3B,,Caught Stealing Home,,691718,Pete Crow-Armstrong,623451,Jackson Stephens,673548,Seiya Suzuki,R,Sean Murphy,669221,0,5,4,True,2023-09-26,Caught,Home
97,1B,2B,Stolen Base 2B,,670156,Miles Mastrobuoni,543272,Brad Hand,621550,Patrick Wisdom,L,Sean Murphy,669221,5,6,8,True,2023-09-26,Stolen,2B
106,1B,2B,Stolen Base 2B,,657088,Forrest Wall,592767,Drew Smyly,671739,Michael Harris II,L,Yan Gomes,543228,5,6,8,False,2023-09-26,Stolen,2B
54,1B,2B,Stolen Base 2B,,643396,Isiah Kiner-Falefa,592332,Kevin Gausman,665828,Oswaldo Cabrera,R,Alejandro Kirk,672386,0,0,7,True,2023-09-26,Stolen,2B
62,1B,2B,Stolen Base 2B,,662139,Daulton Varsho,666745,Jhony Brito,595281,Kevin Kiermaier,R,Austin Wells,669224,0,0,7,False,2023-09-26,Stolen,2B
56,1B,2B,Stolen Base 2B,,681082,Bryson Stott,664294,Dauri Moreta,592663,J.T. Realmuto,R,Endy Rodríguez,682848,2,1,7,False,2023-09-26,Stolen,2B
79,1B,2B,Stolen Base 2B,,669707,Jared Triolo,656546,Jeff Hoffman,680779,Henry Davis,R,J.T. Realmuto,592663,2,2,10,True,2023-09-26,Stolen,2B
3,2B,,Caught Stealing 3B,,672580,Maikel Garcia,681857,Reese Olson,521692,Salvador Perez,R,Jake Rogers,668670,0,0,1,True,2023-09-26,Caught,3B
4,1B,2B,Caught Stealing 3B,,677951,Bobby Witt Jr.,681857,Reese Olson,521692,Salvador Perez,R,Jake Rogers,668670,0,0,1,True,2023-09-26,Caught,3B
28,1B,,Caught Stealing 2B,,677951,Bobby Witt Jr.,681857,Reese Olson,669004,MJ Melendez,R,Jake Rogers,668670,0,1,3,True,2023-09-26,Caught,2B
21,1B,2B,Stolen Base 2B,,624428,Adam Frazier,680686,Josiah Gray,602104,Ramón Urías,R,Keibert Ruiz,660688,1,0,2,False,2023-09-26,Stolen,2B
71,3B,,Caught Stealing Home,,683002,Gunnar Henderson,676395,Robert Garcia,656811,Ryan O'Hearn,L,Keibert Ruiz,660688,1,0,8,False,2023-09-26,Caught,Home
34,1B,2B,Stolen Base 2B,,608070,José Ramírez,668881,Hunter Greene,594777,Kole Calhoun,R,Luke Maile,571912,5,4,3,False,2023-09-26,Stolen,2B
42,1B,2B,Stolen Base 2B,,666181,Will Benson,608337,Lucas Giolito,571912,Luke Maile,R,Bo Naylor,666310,6,5,4,True,2023-09-26,Stolen,2B
47,1B,2B,Stolen Base 2B,,663697,Jonathan India,669212,Eli Morgan,668715,Spencer Steer,R,Bo Naylor,666310,6,5,4,True,2023-09-26,Stolen,2B
76,1B,2B,Stolen Base 2B,,571912,Luke Maile,675916,James Karinchak,663697,Jonathan India,R,Bo Naylor,666310,7,8,5,True,2023-09-26,Stolen,2B
91,1B,2B,Stolen Base 2B,,666181,Will Benson,675540,Xzavion Curry,571912,Luke Maile,R,Bo Naylor,666310,7,9,7,True,2023-09-26,Stolen,2B
105,1B,,Caught Stealing 2B,,656413,Stuart Fairchild,675540,Xzavion Curry,682622,Noelvi Marte,R,Bo Naylor,666310,7,9,9,True,2023-09-26,Caught,2B
25,1B,2B,Stolen Base 2B,,642708,Amed Rosario,663372,Ryan Feltner,621035,Chris Taylor,R,Elias Díaz,553869,0,5,2,True,2023-09-26,Stolen,2B
2,1B,2B,Stolen Base 2B,,605141,Mookie Betts,502624,Chase Anderson,518692,Freddie Freeman,R,Austin Wynns,642851,0,0,1,True,2023-09-26,Stolen,2B
1,1B,2B,Stolen Base 2B,,682998,Corbin Carroll,657053,Touki Toussaint,606466,Ketel Marte,R,Korey Lee,686676,0,0,1,True,2023-09-25,Stolen,2B
6,1B,2B,Stolen Base 2B,,502054,Tommy Pham,657053,Touki Toussaint,677950,Alek Thomas,R,Korey Lee,686676,0,0,1,True,2023-09-25,Stolen,2B
25,1B,,Caught Stealing 2B,,676801,Chas McCormick,622491,Luis Castillo,665161,Jeremy Peña,R,Cal Raleigh,663728,0,4,3,True,2023-09-25,Caught,2B
47,1B,,Caught Stealing 2B,,683021,Michael Stefanic,592351,Jon Gray,694384,Nolan Schanuel,R,Jonah Heim,641680,1,0,5,False,2023-09-25,Caught,2B
31,1B,2B,Stolen Base 2B,,664314,Estevan Florial,518876,Merrill Kelly,518934,DJ LeMahieu,R,Gabriel Moreno,672515,0,2,3,False,2023-09-25,Stolen,2B
50,1B,2B,Stolen Base 2B,,572233,Christian Walker,669711,Greg Weissert,677950,Alek Thomas,R,Austin Wells,669224,2,2,5,True,2023-09-25,Stolen,2B
69,1B,2B,Stolen Base 2B,,682998,Corbin Carroll,598286,Nick Ramirez,672515,Gabriel Moreno,L,Austin Wells,669224,2,3,7,True,2023-09-25,Stolen,2B
49,1B,,Caught Stealing 2B,,642731,Thairo Estrada,458681,Lance Lynn,624424,Michael Conforto,R,Will Smith,669257,2,2,6,True,2023-09-24,Caught,2B
12,1B,2B,Stolen Base 2B,,592663,J.T. Realmuto,676130,José Buttó,592206,Nick Castellanos,R,Omar Narváez,553882,0,0,2,False,2023-09-24,Stolen,2B
29,1B,2B,Stolen Base 2B,,681082,Bryson Stott,676130,José Buttó,592663,J.T. Realmuto,R,Omar Narváez,553882,2,0,4,False,2023-09-24,Stolen,2B
59,1B,2B,Stolen Base 2B,,592206,Nick Castellanos,641743,Anthony Kay,669016,Brandon Marsh,L,Omar Narváez,553882,5,2,6,False,2023-09-24,Stolen,2B
5,1B,2B,Stolen Base 2B,,665923,Esteury Ruiz,593958,Eduardo Rodriguez,680869,Zack Gelof,L,Jake Rogers,668670,0,0,1,False,2023-09-24,Stolen,2B
6,2B,,Caught Stealing 3B,,665923,Esteury Ruiz,593958,Eduardo Rodriguez,680869,Zack Gelof,L,Jake Rogers,668670,0,0,1,False,2023-09-24,Caught,3B
41,2B,3B,Stolen Base 3B,,665923,Esteury Ruiz,593958,Eduardo Rodriguez,667670,Brent Rooker,L,Jake Rogers,668670,0,2,4,False,2023-09-24,Stolen,3B
42,1B,2B,Stolen Base 2B,,680869,Zack Gelof,593958,Eduardo Rodriguez,667670,Brent Rooker,L,Jake Rogers,668670,0,2,4,False,2023-09-24,Stolen,2B
11,1B,2B,Stolen Base 2B,,672284,Jarred Kelenic,543135,Nathan Eovaldi,645801,Mike Ford,R,Jonah Heim,641680,1,1,2,True,2023-09-24,Stolen,2B
