Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,621020,Dansby Swanson,John Ryan Murphy,2,2,7,True,2018-09-08,Stolen,2B,2018
1B,,Caught Stealing 2B,542255,Ender Inciarte,John Ryan Murphy,2,3,8,True,2018-09-08,Caught,2B,2018
1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,John Ryan Murphy,3,3,9,True,2018-09-08,Stolen,2B,2018
1B,2B,Stolen Base 2B,518692,Freddie Freeman,John Ryan Murphy,3,4,10,True,2018-09-08,Stolen,2B,2018
1B,2B,Stolen Base 2B,446334,Evan Longoria,John Ryan Murphy,0,0,8,False,2018-08-28,Stolen,2B,2018
1B,2B,Stolen Base 2B,516416,Jean Segura,John Ryan Murphy,1,1,3,True,2018-08-25,Stolen,2B,2018
1B,,Caught Stealing 2B,606299,José Peraza,John Ryan Murphy,2,2,5,False,2018-08-11,Caught,2B,2018
1B,2B,Stolen Base 2B,571740,Billy Hamilton,John Ryan Murphy,2,2,7,False,2018-08-11,Stolen,2B,2018
1B,2B,Stolen Base 2B,571740,Billy Hamilton,John Ryan Murphy,5,3,8,False,2018-08-11,Stolen,2B,2018
1B,,Caught Stealing 2B,457705,Andrew McCutchen,John Ryan Murphy,2,1,5,True,2018-08-05,Caught,2B,2018
1B,2B,Stolen Base 2B,455139,Robinson Chirinos,John Ryan Murphy,4,4,6,True,2018-07-30,Stolen,2B,2018
1B,2B,Stolen Base 2B,435622,Ian Desmond,John Ryan Murphy,4,3,6,True,2018-07-21,Stolen,2B,2018
1B,2B,Stolen Base 2B,518934,DJ LeMahieu,John Ryan Murphy,0,1,5,False,2018-07-12,Stolen,2B,2018
1B,2B,Stolen Base 2B,435622,Ian Desmond,John Ryan Murphy,5,1,7,False,2018-07-12,Stolen,2B,2018
1B,2B,Stolen Base 2B,596115,Trevor Story,John Ryan Murphy,2,1,1,False,2018-07-11,Stolen,2B,2018
