Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,516782,Starling Marte,Joey Bart,1,1,7,True,2020-08-22,Stolen,2B,2020
1B,2B,Stolen Base 2B,666310,Bo Naylor,Joey Bart,3,2,7,True,2023-09-11,Stolen,2B,2023
1B,2B,Stolen Base 2B,665926,Andrés Giménez,Joey Bart,3,3,8,True,2023-09-11,Stolen,2B,2023
1B,2B,Stolen Base 2B,671289,Tyler Freeman,Joey Bart,3,4,10,True,2023-09-11,Stolen,2B,2023
1B,,Caught Stealing 2B,656248,Sean Bouchard,Joey Bart,0,3,2,True,2023-09-08,Caught,2B,2023
1B,2B,Stolen Base 2B,666134,Nolan Jones,Joey Bart,4,7,7,True,2023-09-08,Stolen,2B,2023
2B,3B,Stolen Base 3B,547180,Bryce Harper,Joey Bart,4,0,4,True,2023-05-17,Stolen,3B,2023
1B,2B,Stolen Base 2B,592206,Nick Castellanos,Joey Bart,4,0,4,True,2023-05-17,Stolen,2B,2023
2B,3B,Stolen Base 3B,592663,J.T. Realmuto,Joey Bart,0,0,2,True,2023-05-16,Stolen,3B,2023
1B,2B,Stolen Base 2B,669016,Brandon Marsh,Joey Bart,0,0,2,True,2023-05-16,Stolen,2B,2023
1B,2B,Stolen Base 2B,592663,J.T. Realmuto,Joey Bart,4,2,7,True,2023-05-16,Stolen,2B,2023
1B,2B,Stolen Base 2B,672515,Gabriel Moreno,Joey Bart,1,1,7,False,2023-05-14,Stolen,2B,2023
1B,2B,Stolen Base 2B,606466,Ketel Marte,Joey Bart,7,5,8,False,2023-05-12,Stolen,2B,2023
1B,2B,Stolen Base 2B,669743,Alex Call,Joey Bart,0,1,2,True,2023-05-10,Stolen,2B,2023
3B,score,Caught Stealing 2B,680911,Owen Miller,Joey Bart,0,2,1,True,2023-05-05,Caught,2B,2023
1B,,Caught Stealing 2B,605119,Brian Anderson,Joey Bart,0,2,1,True,2023-05-05,Caught,2B,2023
2B,3B,Stolen Base 3B,621438,Tyrone Taylor,Joey Bart,2,2,5,True,2023-05-05,Stolen,3B,2023
1B,2B,Stolen Base 2B,686894,Joey Wiemer,Joey Bart,2,2,5,True,2023-05-05,Stolen,2B,2023
1B,,Caught Stealing 2B,516782,Starling Marte,Joey Bart,6,2,3,True,2023-04-22,Caught,2B,2023
1B,2B,Stolen Base 2B,641658,Garrett Hampson,Joey Bart,0,1,5,False,2023-04-19,Stolen,2B,2023
2B,3B,Stolen Base 3B,665862,Jazz Chisholm Jr.,Joey Bart,1,1,10,False,2023-04-19,Stolen,3B,2023
1B,2B,Stolen Base 2B,650333,Luis Arraez,Joey Bart,1,1,10,False,2023-04-19,Stolen,2B,2023
1B,2B,Stolen Base 2B,541645,Avisaíl García,Joey Bart,4,2,4,False,2023-04-18,Stolen,2B,2023
1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,Joey Bart,4,2,8,False,2023-04-18,Stolen,2B,2023
1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,Joey Bart,1,3,3,False,2023-04-17,Stolen,2B,2023
1B,2B,Stolen Base 2B,668731,Akil Baddoo,Joey Bart,6,6,8,False,2023-04-15,Stolen,2B,2023
1B,2B,Stolen Base 2B,663837,Matt Vierling,Joey Bart,1,1,3,False,2023-04-14,Stolen,2B,2023
1B,2B,Stolen Base 2B,656716,Zach McKinstry,Joey Bart,4,5,11,False,2023-04-14,Stolen,2B,2023
1B,,Caught Stealing 2B,681546,James Outman,Joey Bart,3,1,4,True,2023-04-12,Caught,2B,2023
1B,2B,Stolen Base 2B,681546,James Outman,Joey Bart,1,4,7,True,2023-04-10,Stolen,2B,2023
1B,2B,Stolen Base 2B,672695,Geraldo Perdomo,Joey Bart,5,1,4,False,2022-09-24,Stolen,2B,2022
1B,2B,Stolen Base 2B,608336,Joey Gallo,Joey Bart,0,1,2,True,2022-09-16,Stolen,2B,2022
1B,2B,Stolen Base 2B,641355,Cody Bellinger,Joey Bart,0,4,4,True,2022-09-16,Stolen,2B,2022
1B,2B,Stolen Base 2B,607208,Trea Turner,Joey Bart,0,4,4,True,2022-09-16,Stolen,2B,2022
1B,2B,Stolen Base 2B,641355,Cody Bellinger,Joey Bart,0,4,9,True,2022-09-16,Stolen,2B,2022
1B,2B,Stolen Base 2B,542364,Rafael Ortega,Joey Bart,0,0,3,False,2022-09-11,Stolen,2B,2022
1B,2B,Stolen Base 2B,607054,Jace Peterson,Joey Bart,0,1,4,False,2022-09-08,Stolen,2B,2022
1B,2B,Stolen Base 2B,607208,Trea Turner,Joey Bart,3,1,3,False,2022-09-06,Stolen,2B,2022
1B,2B,Stolen Base 2B,592144,Wynton Bernard,Joey Bart,3,2,7,False,2022-08-20,Stolen,2B,2022
1B,2B,Stolen Base 2B,656448,Stone Garrett,Joey Bart,0,0,1,True,2022-08-18,Stolen,2B,2022
1B,2B,Stolen Base 2B,668942,Josh Rojas,Joey Bart,0,0,3,True,2022-08-15,Stolen,2B,2022
1B,2B,Stolen Base 2B,621450,Skye Bolt,Joey Bart,0,1,3,False,2022-08-07,Stolen,2B,2022
1B,2B,Stolen Base 2B,572204,Trayce Thompson,Joey Bart,0,0,2,True,2022-08-03,Stolen,2B,2022
2B,3B,Stolen Base 3B,678246,Miguel Vargas,Joey Bart,0,1,2,True,2022-08-03,Stolen,3B,2022
1B,,Caught Stealing 2B,605131,Austin Barnes,Joey Bart,5,6,6,True,2022-08-02,Caught,2B,2022
2B,,Caught Stealing 3B,666624,Christopher Morel,Joey Bart,0,0,1,True,2022-07-28,Caught,3B,2022
1B,,Caught Stealing 2B,518692,Freddie Freeman,Joey Bart,7,4,8,False,2022-07-24,Caught,2B,2022
1B,,Caught Stealing 2B,641355,Cody Bellinger,Joey Bart,1,1,4,False,2022-07-22,Caught,2B,2022
1B,2B,Stolen Base 2B,641505,Jonathan Davis,Joey Bart,1,1,8,True,2022-07-16,Stolen,2B,2022
2B,,Caught Stealing 3B,641505,Jonathan Davis,Joey Bart,1,1,8,True,2022-07-16,Caught,3B,2022
1B,2B,Stolen Base 2B,664983,Jake McCarthy,Joey Bart,1,3,8,True,2022-07-11,Stolen,2B,2022
1B,2B,Stolen Base 2B,542932,Jon Berti,Joey Bart,2,4,5,False,2022-06-04,Stolen,2B,2022
1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,Joey Bart,4,4,5,False,2022-06-04,Stolen,2B,2022
1B,,Caught Stealing 2B,663897,Luke Williams,Joey Bart,1,0,5,False,2022-06-02,Caught,2B,2022
1B,2B,Stolen Base 2B,592663,J.T. Realmuto,Joey Bart,1,0,4,False,2022-05-31,Stolen,2B,2022
1B,2B,Stolen Base 2B,664670,Alejo Lopez,Joey Bart,1,0,3,False,2022-05-27,Stolen,2B,2022
1B,2B,Stolen Base 2B,516782,Starling Marte,Joey Bart,0,0,1,True,2022-05-24,Stolen,2B,2022
2B,3B,Stolen Base 3B,643446,Jeff McNeil,Joey Bart,2,5,6,True,2022-05-23,Stolen,3B,2022
1B,2B,Stolen Base 2B,595777,Jurickson Profar,Joey Bart,0,0,1,True,2022-05-21,Stolen,2B,2022
1B,2B,Stolen Base 2B,673490,Ha-Seong Kim,Joey Bart,0,1,4,True,2022-05-21,Stolen,2B,2022
1B,2B,Stolen Base 2B,664056,Harrison Bader,Joey Bart,6,0,4,False,2022-05-15,Stolen,2B,2022
1B,2B,Stolen Base 2B,656582,Connor Joe,Joey Bart,0,0,1,True,2022-05-11,Stolen,2B,2022
1B,,Caught Stealing 2B,641658,Garrett Hampson,Joey Bart,5,1,7,True,2022-05-11,Caught,2B,2022
1B,2B,Stolen Base 2B,669242,Tommy Edman,Joey Bart,0,0,1,True,2022-05-07,Stolen,2B,2022
1B,2B,Stolen Base 2B,664056,Harrison Bader,Joey Bart,8,4,4,True,2022-05-07,Stolen,2B,2022
1B,2B,Stolen Base 2B,665650,Lucius Fox,Joey Bart,0,5,1,True,2022-05-01,Stolen,2B,2022
1B,2B,Stolen Base 2B,665742,Juan Soto,Joey Bart,5,8,8,True,2022-05-01,Stolen,2B,2022
1B,2B,Stolen Base 2B,641914,Sheldon Neuse,Joey Bart,0,0,1,True,2022-04-26,Stolen,2B,2022
1B,2B,Stolen Base 2B,641914,Sheldon Neuse,Joey Bart,2,1,3,True,2022-04-26,Stolen,2B,2022
1B,2B,Stolen Base 2B,657041,Lane Thomas,Joey Bart,1,4,2,False,2022-04-24,Stolen,2B,2022
1B,,Caught Stealing 2B,516782,Starling Marte,Joey Bart,1,5,7,False,2022-04-20,Caught,2B,2022
1B,2B,Stolen Base 2B,516782,Starling Marte,Joey Bart,0,0,1,False,2022-04-19,Stolen,2B,2022
2B,3B,Stolen Base 3B,596019,Francisco Lindor,Joey Bart,4,4,5,False,2022-04-19,Stolen,3B,2022
1B,2B,Stolen Base 2B,642708,Amed Rosario,Joey Bart,2,2,6,False,2022-04-16,Stolen,2B,2022
1B,2B,Stolen Base 2B,572228,Luke Voit,Joey Bart,6,0,2,True,2022-04-12,Stolen,2B,2022
